text,label
The mayor announced a new initiative to improve public transportation.,Politics
The senator is facing criticism for her stance on the recent bill.,Politics
The upcoming election has sparked intense debates among the candidates.,Politics
Regular exercise and a balanced diet are key to maintaining good health.,Health
The World Health Organization has issued new guidelines on COVID-19.,Health
A new study reveals the benefits of meditation for mental health.,Health
The stock market saw a significant drop following the announcement.,Finance
Investing in real estate can be a profitable venture if done correctly.,Finance
The company's profits have doubled since the launch of their new product.,Finance
Visiting the Grand Canyon is a breathtaking experience.,Travel
The tourism industry has been severely impacted by the pandemic.,Travel
Backpacking through Europe is a popular choice for young travelers.,Travel
The new restaurant in town offers a fusion of Italian and Japanese cuisine.,Food
Drinking eight glasses of water a day is essential for staying hydrated.,Food
Cooking classes are a fun way to learn new recipes and techniques.,Food
The school district is implementing a new curriculum for the upcoming year.,Education
Online learning has become increasingly popular during the pandemic.,Education
The university is offering scholarships for students in financial need.,Education
Climate change is causing a significant rise in sea levels.,Environment
Recycling and composting are effective ways to reduce waste.,Environment
The Amazon rainforest is home to millions of unique species.,Environment
The new fashion trend is all about sustainability and eco-friendly materials.,Fashion
The annual Met Gala is a major event in the fashion world.,Fashion
Vintage clothing has made a comeback in recent years.,Fashion
NASA's Mars Rover has made significant discoveries about the red planet.,Science
The Nobel Prize in Physics was awarded for breakthroughs in black hole research.,Science
Genetic engineering is opening up new possibilities in medical treatment.,Science
The NBA Finals are set to begin next week with the top two teams in the league.,Sports
Serena Williams continues to dominate the tennis world with her powerful serve.,Sports
The World Cup is the most prestigious tournament in international soccer.,Sports
Artificial intelligence is changing the way we live and work.,Technology
The latest iPhone has a number of exciting new features.,Technology
Cybersecurity is becoming increasingly important as more and more data moves online.,Technology
The new Marvel movie is breaking box office records.,Entertainment
The Grammy Awards are a celebration of the best music of the year.,Entertainment
The latest season of Game of Thrones had fans on the edge of their seats.,Entertainment
The confirmation had caused Hyundai's value to rise by $9 billion,Finance
The top two teams on World Test Championship points table will qualify for the final,Sports
The head of the Campania region that includes Naples blamed a hydro-geological problem for the incident,Environment
The Moderna vaccine has become the third coronavirus vaccine to be approved for use in the UK,Health
"The shutdown affects the Trump Organization’s official store, TrumpStore",Finance
The union criticised YouTube for only taking down one video from Donald Trump rather than banning his account like Facebook and Instagram did,Politics
The roadshow had to be shortened after police denied permission for it,Travel
The scheme provides health cover of up to ₹5 lakh per annum to a family for secondary and tertiary care,Health
The article was later taken down by the publication,Finance
The Bombay HC had earlier granted interim protection from arrest to the sisters till today,Food
"The starting price of a Model Y in China is now $52,028",Finance
The vehicles were imported from South China EXIM by automobile dealers Shreema Distributors and ARETE International,Finance
"The company is currently working on a concrete time plan, it reported",Finance
"The company will, instead, be opting for the term autonomous",Technology
The confirmation had caused Hyundai's value to rise by $9 billion,Finance
"The total value of the contract was put at $630-880 million over 2021-25 in a filing to the Shenzhen Stock Exchange, Reuters reported",Finance
The next-biggest loss for short sellers was on Apple at $7 billion,Finance
